Data,Tipo,Preço,Score,Volume_Ratio,RSI,Classe_Gap,Gap_Pct
27/10/2020,VENDA,"98,850",2/5,nanx,nan,Gap Up Forte,0.53%
28/12/2020,COMPRA,"119,550",2/5,0.7x,69.5,Gap Up Forte,0.53%
04/01/2021,VENDA,"118,695",2/5,1.0x,68.5,Gap Up Forte,0.92%
07/01/2021,VENDA,"123,180",3/5,1.1x,76.9,Gap Up Forte,0.42%
07/01/2021,COMPRA,"123,180",2/5,1.1x,76.9,Gap Up Forte,0.42%
11/01/2021,COMPRA,"123,500",2/5,1.3x,66.6,Gap Down Forte,-0.69%
14/01/2021,VENDA,"123,200",2/5,1.1x,72.0,Gap Up Forte,0.44%
15/01/2021,COMPRA,"120,350",2/5,1.1x,59.0,Gap Down Forte,-0.40%
29/01/2021,COMPRA,"115,000",2/5,1.3x,27.5,Gap Down Forte,-0.61%
12/02/2021,COMPRA,"119,570",2/5,0.9x,54.9,Gap Down Forte,-0.49%
17/02/2021,COMPRA,"120,780",2/5,0.5x,60.6,Gap Neutro,0.10%
22/02/2021,COMPRA,"112,130",2/5,1.0x,43.1,Gap Down Forte,-4.44%
23/02/2021,VENDA,"115,515",2/5,1.1x,45.6,Gap Up Forte,0.78%
01/03/2021,VENDA,"110,470",2/5,1.1x,29.3,Gap Up Forte,1.41%
03/03/2021,VENDA,"111,335",2/5,1.3x,33.9,Gap Up Forte,0.60%
09/03/2021,VENDA,"111,150",2/5,1.1x,35.9,Gap Up Forte,1.38%
13/04/2021,COMPRA,"119,010",2/5,0.9x,70.7,Gap Down Forte,-0.47%
14/04/2021,VENDA,"120,825",2/5,0.7x,81.3,Gap Up Forte,0.40%
20/04/2021,COMPRA,"120,270",2/5,1.0x,64.4,Gap Down Forte,-0.37%
11/05/2021,COMPRA,"122,960",3/5,1.1x,58.5,Gap Down Forte,-0.74%
17/05/2021,COMPRA,"123,010",3/5,0.8x,60.1,Gap Down Forte,-0.35%
19/05/2021,COMPRA,"123,100",2/5,1.1x,59.6,Gap Down Forte,-0.77%
01/06/2021,VENDA,"128,430",2/5,1.0x,88.4,Gap Neutro,0.36%
28/07/2021,VENDA,"126,305",2/5,1.0x,46.6,Gap Up Forte,0.40%
30/07/2021,COMPRA,"122,340",2/5,1.1x,30.4,Gap Down Forte,-0.52%
02/08/2021,VENDA,"123,180",2/5,1.1x,32.6,Gap Up Forte,1.11%
05/08/2021,VENDA,"121,100",2/5,1.0x,33.0,Gap Up Forte,1.01%
17/08/2021,COMPRA,"117,150",2/5,1.3x,21.1,Gap Neutro,-0.26%
18/08/2021,VENDA,"116,960",2/5,1.2x,22.0,Gap Up Forte,1.49%
24/08/2021,VENDA,"121,275",2/5,0.9x,47.7,Gap Up Forte,0.72%
03/09/2021,VENDA,"116,855",3/5,1.0x,41.3,Gap Up Forte,0.43%
08/09/2021,COMPRA,"113,830",2/5,1.2x,41.9,Gap Down Forte,-1.03%
08/09/2021,VENDA,"113,830",2/5,1.2x,41.9,Gap Down Forte,-1.03%
09/09/2021,VENDA,"117,080",2/5,1.2x,47.8,Gap Up Forte,0.65%
13/09/2021,VENDA,"116,680",2/5,1.0x,47.1,Gap Up Forte,0.80%
17/09/2021,COMPRA,"111,205",3/5,1.0x,29.6,Gap Down Forte,-0.55%
20/09/2021,COMPRA,"109,710",2/5,1.1x,28.1,Gap Down Forte,-1.80%
21/09/2021,VENDA,"110,240",2/5,1.1x,31.3,Gap Up Forte,0.81%
22/09/2021,VENDA,"112,435",2/5,1.0x,37.1,Gap Up Forte,1.14%
